home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Bournemouth,Crystal Palace,2,2,draw,draw,"Vitality Stadium, Bournemouth",1,2017/18,2018-04-07
Man City,Man Utd,2,3,Man Utd,Man City,"Etihad Stadium, Manchester",1,2017/18,2018-04-07
Everton,Liverpool,0,0,draw,draw,"Goodison Park, Liverpool",1,2017/18,2018-04-07
Brighton,Huddersfield,1,1,draw,draw,"Amex Stadium, Falmer",1,2017/18,2018-04-07
Leicester,Newcastle,1,2,Newcastle,Leicester,"King Power Stadium, Leicester",1,2017/18,2018-04-07
Stoke,Spurs,1,2,Spurs,Stoke,"bet365 Stadium, Stoke",1,2017/18,2018-04-07
Watford,Burnley,1,2,Burnley,Watford,"Vicarage Road, Watford",1,2017/18,2018-04-07
West Brom,Swansea,1,1,draw,draw,"The Hawthorns, West Bromwich",1,2017/18,2018-04-07
Arsenal,Stoke,3,0,Arsenal,Stoke,"Emirates Stadium, London",1,2017/18,2018-04-01
Chelsea,Spurs,1,3,Spurs,Chelsea,"Stamford Bridge, London",1,2017/18,2018-04-01
Crystal Palace,Liverpool,1,2,Liverpool,Crystal Palace,"Selhurst Park, London",1,2017/18,2018-03-31
Brighton,Leicester,0,2,Leicester,Brighton,"Amex Stadium, Falmer",1,2017/18,2018-03-31
Man Utd,Swansea,2,0,Man Utd,Swansea,"Old Trafford, Manchester",1,2017/18,2018-03-31
Newcastle,Huddersfield,1,0,Newcastle,Huddersfield,"St. James' Park, Newcastle",1,2017/18,2018-03-31
Watford,Bournemouth,2,2,draw,draw,"Vicarage Road, Watford",1,2017/18,2018-03-31
West Brom,Burnley,1,2,Burnley,West Brom,"The Hawthorns, West Bromwich",1,2017/18,2018-03-31
West Ham,Southampton,3,0,West Ham,Southampton,"London Stadium, London",1,2017/18,2018-03-31
Everton,Man City,1,3,Man City,Everton,"Goodison Park, Liverpool",1,2017/18,2018-03-31
Bournemouth,West Brom,2,1,Bournemouth,West Brom,"Vitality Stadium, Bournemouth",1,2017/18,2018-03-17
Huddersfield,Crystal Palace,0,2,Crystal Palace,Huddersfield,"John Smith's Stadium, Huddersfield",1,2017/18,2018-03-17
Stoke,Everton,1,2,Everton,Stoke,"bet365 Stadium, Stoke",1,2017/18,2018-03-17
Liverpool,Watford,5,0,Liverpool,Watford,"Anfield, Liverpool",1,2017/18,2018-03-17
Stoke,Man City,0,2,Man City,Stoke,"bet365 Stadium, Stoke",1,2017/18,2018-03-12
Arsenal,Watford,3,0,Arsenal,Watford,"Emirates Stadium, London",1,2017/18,2018-03-11
Bournemouth,Spurs,1,4,Spurs,Bournemouth,"Vitality Stadium, Bournemouth",1,2017/18,2018-03-11
Man Utd,Liverpool,2,1,Man Utd,Liverpool,"Old Trafford, Manchester",1,2017/18,2018-03-10
Everton,Brighton,2,0,Everton,Brighton,"Goodison Park, Liverpool",1,2017/18,2018-03-10
Huddersfield,Swansea,0,0,draw,draw,"John Smith's Stadium, Huddersfield",1,2017/18,2018-03-10
Newcastle,Southampton,3,0,Newcastle,Southampton,"St. James' Park, Newcastle",1,2017/18,2018-03-10
West Brom,Leicester,1,4,Leicester,West Brom,"The Hawthorns, West Bromwich",1,2017/18,2018-03-10
West Ham,Burnley,0,3,Burnley,West Ham,"London Stadium, London",1,2017/18,2018-03-10
Chelsea,Crystal Palace,2,1,Chelsea,Crystal Palace,"Stamford Bridge, London",1,2017/18,2018-03-10
Crystal Palace,Man Utd,2,3,Man Utd,Crystal Palace,"Selhurst Park, London",1,2017/18,2018-03-05
Brighton,Arsenal,2,1,Brighton,Arsenal,"Amex Stadium, Falmer",1,2017/18,2018-03-04
Man City,Chelsea,1,0,Man City,Chelsea,"Etihad Stadium, Manchester",1,2017/18,2018-03-04
Burnley,Everton,2,1,Burnley,Everton,"Turf Moor, Burnley",1,2017/18,2018-03-03
Leicester,Bournemouth,1,1,draw,draw,"King Power Stadium, Leicester",1,2017/18,2018-03-03
Southampton,Stoke,0,0,draw,draw,"St. Mary's Stadium, Southampton",1,2017/18,2018-03-03
Swansea,West Ham,4,1,Swansea,West Ham,"Liberty Stadium, Swansea",1,2017/18,2018-03-03
Spurs,Huddersfield,2,0,Spurs,Huddersfield,"Wembley Stadium, London",1,2017/18,2018-03-03
Watford,West Brom,1,0,Watford,West Brom,"Vicarage Road, Watford",1,2017/18,2018-03-03
Liverpool,Newcastle,2,0,Liverpool,Newcastle,"Anfield, Liverpool",1,2017/18,2018-03-03
Arsenal,Man City,0,3,Man City,Arsenal,"Emirates Stadium, London",1,2017/18,2018-03-01
Crystal Palace,Spurs,0,1,Spurs,Crystal Palace,"Selhurst Park, London",1,2017/18,2018-02-25
Man Utd,Chelsea,2,1,Man Utd,Chelsea,"Old Trafford, Manchester",1,2017/18,2018-02-25
Leicester,Stoke,1,1,draw,draw,"King Power Stadium, Leicester",1,2017/18,2018-02-24
Bournemouth,Newcastle,2,2,draw,draw,"Vitality Stadium, Bournemouth",1,2017/18,2018-02-24
Brighton,Swansea,4,1,Brighton,Swansea,"Amex Stadium, Falmer",1,2017/18,2018-02-24
Burnley,Southampton,1,1,draw,draw,"Turf Moor, Burnley",1,2017/18,2018-02-24
Liverpool,West Ham,4,1,Liverpool,West Ham,"Anfield, Liverpool",1,2017/18,2018-02-24
West Brom,Huddersfield,1,2,Huddersfield,West Brom,"The Hawthorns, West Bromwich",1,2017/18,2018-02-24
Watford,Everton,1,0,Watford,Everton,"Vicarage Road, Watford",1,2017/18,2018-02-24
Chelsea,West Brom,3,0,Chelsea,West Brom,"Stamford Bridge, London",1,2017/18,2018-02-12
Huddersfield,Bournemouth,4,1,Huddersfield,Bournemouth,"John Smith's Stadium, Huddersfield",1,2017/18,2018-02-11
Newcastle,Man Utd,1,0,Newcastle,Man Utd,"St. James' Park, Newcastle",1,2017/18,2018-02-11
Southampton,Liverpool,0,2,Liverpool,Southampton,"St. Mary's Stadium, Southampton",1,2017/18,2018-02-11
Spurs,Arsenal,1,0,Spurs,Arsenal,"Wembley Stadium, London",1,2017/18,2018-02-10
Everton,Crystal Palace,3,1,Everton,Crystal Palace,"Goodison Park, Liverpool",1,2017/18,2018-02-10
Stoke,Brighton,1,1,draw,draw,"bet365 Stadium, Stoke",1,2017/18,2018-02-10
Swansea,Burnley,1,0,Swansea,Burnley,"Liberty Stadium, Swansea",1,2017/18,2018-02-10
West Ham,Watford,2,0,West Ham,Watford,"London Stadium, London",1,2017/18,2018-02-10
Man City,Leicester,5,1,Man City,Leicester,"Etihad Stadium, Manchester",1,2017/18,2018-02-10
Watford,Chelsea,4,1,Watford,Chelsea,"Vicarage Road, Watford",1,2017/18,2018-02-05
Crystal Palace,Newcastle,1,1,draw,draw,"Selhurst Park, London",1,2017/18,2018-02-04
Liverpool,Spurs,2,2,draw,draw,"Anfield, Liverpool",1,2017/18,2018-02-04
Burnley,Man City,1,1,draw,draw,"Turf Moor, Burnley",1,2017/18,2018-02-03
Bournemouth,Stoke,2,1,Bournemouth,Stoke,"Vitality Stadium, Bournemouth",1,2017/18,2018-02-03
Brighton,West Ham,3,1,Brighton,West Ham,"Amex Stadium, Falmer",1,2017/18,2018-02-03
Leicester,Swansea,1,1,draw,draw,"King Power Stadium, Leicester",1,2017/18,2018-02-03
Man Utd,Huddersfield,2,0,Man Utd,Huddersfield,"Old Trafford, Manchester",1,2017/18,2018-02-03
West Brom,Southampton,2,3,Southampton,West Brom,"The Hawthorns, West Bromwich",1,2017/18,2018-02-03
Arsenal,Everton,5,1,Arsenal,Everton,"Emirates Stadium, London",1,2017/18,2018-02-03
Chelsea,Bournemouth,0,3,Bournemouth,Chelsea,"Stamford Bridge, London",1,2017/18,2018-01-31
Everton,Leicester,2,1,Everton,Leicester,"Goodison Park, Liverpool",1,2017/18,2018-01-31
Newcastle,Burnley,1,1,draw,draw,"St. James' Park, Newcastle",1,2017/18,2018-01-31
Southampton,Brighton,1,1,draw,draw,"St. Mary's Stadium, Southampton",1,2017/18,2018-01-31
Man City,West Brom,3,0,Man City,West Brom,"Etihad Stadium, Manchester",1,2017/18,2018-01-31
Stoke,Watford,0,0,draw,draw,"bet365 Stadium, Stoke",1,2017/18,2018-01-31
Spurs,Man Utd,2,0,Spurs,Man Utd,"Wembley Stadium, London",1,2017/18,2018-01-31
Swansea,Arsenal,3,1,Swansea,Arsenal,"Liberty Stadium, Swansea",1,2017/18,2018-01-30
West Ham,Crystal Palace,1,1,draw,draw,"London Stadium, London",1,2017/18,2018-01-30
Huddersfield,Liverpool,0,3,Liverpool,Huddersfield,"John Smith's Stadium, Huddersfield",1,2017/18,2018-01-30
Swansea,Liverpool,1,0,Swansea,Liverpool,"Liberty Stadium, Swansea",1,2017/18,2018-01-22
Southampton,Spurs,1,1,draw,draw,"St. Mary's Stadium, Southampton",1,2017/18,2018-01-21
Brighton,Chelsea,0,4,Chelsea,Brighton,"Amex Stadium, Falmer",1,2017/18,2018-01-20
Arsenal,Crystal Palace,4,1,Arsenal,Crystal Palace,"Emirates Stadium, London",1,2017/18,2018-01-20
Burnley,Man Utd,0,1,Man Utd,Burnley,"Turf Moor, Burnley",1,2017/18,2018-01-20
Everton,West Brom,1,1,draw,draw,"Goodison Park, Liverpool",1,2017/18,2018-01-20
Leicester,Watford,2,0,Leicester,Watford,"King Power Stadium, Leicester",1,2017/18,2018-01-20
Stoke,Huddersfield,2,0,Stoke,Huddersfield,"bet365 Stadium, Stoke",1,2017/18,2018-01-20
West Ham,Bournemouth,1,1,draw,draw,"London Stadium, London",1,2017/18,2018-01-20
Man City,Newcastle,3,1,Man City,Newcastle,"Etihad Stadium, Manchester",1,2017/18,2018-01-20
Man Utd,Stoke,3,0,Man Utd,Stoke,"Old Trafford, Manchester",1,2017/18,2018-01-15
Bournemouth,Arsenal,2,1,Bournemouth,Arsenal,"Vitality Stadium, Bournemouth",1,2017/18,2018-01-14
Liverpool,Man City,4,3,Liverpool,Man City,"Anfield, Liverpool",1,2017/18,2018-01-14
Chelsea,Leicester,0,0,draw,draw,"Stamford Bridge, London",1,2017/18,2018-01-13
Crystal Palace,Burnley,1,0,Crystal Palace,Burnley,"Selhurst Park, London",1,2017/18,2018-01-13
Huddersfield,West Ham,1,4,West Ham,Huddersfield,"John Smith's Stadium, Huddersfield",1,2017/18,2018-01-13
Newcastle,Swansea,1,1,draw,draw,"St. James' Park, Newcastle",1,2017/18,2018-01-13
Watford,Southampton,2,2,draw,draw,"Vicarage Road, Watford",1,2017/18,2018-01-13
West Brom,Brighton,2,0,West Brom,Brighton,"The Hawthorns, West Bromwich",1,2017/18,2018-01-13
Spurs,Everton,4,0,Spurs,Everton,"Wembley Stadium, London",1,2017/18,2018-01-13
Spurs,West Ham,1,1,draw,draw,"Wembley Stadium, London",1,2017/18,2018-01-04
Arsenal,Chelsea,2,2,draw,draw,"Emirates Stadium, London",1,2017/18,2018-01-03
Southampton,Crystal Palace,1,2,Crystal Palace,Southampton,"St. Mary's Stadium, Southampton",1,2017/18,2018-01-02
Swansea,Spurs,0,2,Spurs,Swansea,"Liberty Stadium, Swansea",1,2017/18,2018-01-02
West Ham,West Brom,2,1,West Ham,West Brom,"London Stadium, London",1,2017/18,2018-01-02
Man City,Watford,3,1,Man City,Watford,"Etihad Stadium, Manchester",1,2017/18,2018-01-02
Brighton,Bournemouth,2,2,draw,draw,"Amex Stadium, Falmer",1,2017/18,2018-01-01
Burnley,Liverpool,1,2,Liverpool,Burnley,"Turf Moor, Burnley",1,2017/18,2018-01-01
Leicester,Huddersfield,3,0,Leicester,Huddersfield,"King Power Stadium, Leicester",1,2017/18,2018-01-01
Stoke,Newcastle,0,1,Newcastle,Stoke,"bet365 Stadium, Stoke",1,2017/18,2018-01-01
Everton,Man Utd,0,2,Man Utd,Everton,"Goodison Park, Liverpool",1,2017/18,2018-01-01
Crystal Palace,Man City,0,0,draw,draw,"Selhurst Park, London",1,2017/18,2017-12-31
West Brom,Arsenal,1,1,draw,draw,"The Hawthorns, West Bromwich",1,2017/18,2017-12-31
Bournemouth,Everton,2,1,Bournemouth,Everton,"Vitality Stadium, Bournemouth",1,2017/18,2017-12-30
Chelsea,Stoke,5,0,Chelsea,Stoke,"Stamford Bridge, London",1,2017/18,2017-12-30
Huddersfield,Burnley,0,0,draw,draw,"John Smith's Stadium, Huddersfield",1,2017/18,2017-12-30
Liverpool,Leicester,2,1,Liverpool,Leicester,"Anfield, Liverpool",1,2017/18,2017-12-30
